Opp_ID,Company,DDA ID,DDA Name,Opp_Description,Closing Quarter,Cloud ERP SKU,Pipeline Source,Opportunity Phase,Opp_Status,ISS,Functional Gaps Present,Technical Gaps Present,Localization Gaps Present,Other Gaps Present,,PaísOrigen
305115505,Alliance Laundry Systems LLC,,,HXM ALS,2024-Q4,Human Resources Core,Sales Sourced Opportunity,A - Purchase,Booked,Corporate, , , , ,1.0,Estados Unidos
305132415,Inversiones Urbanísticas Operadora S.A.,43215,LOS PORTALES ESTACIONAMIENTOS OPERADORA S.A.,RISE Public + SAC - Chain,2024-Q1,Public S/4,Marketing Enabled Partner Sourced Opportunity,A - Purchase,Booked,Corporate, , , , ,1.0,Costa Rica
305133143,"Mueblerias Valdez Baluarte, S.A. de C.V",,,REESTRUCTURA + RENOVACIÓN B1,2024-Q1,Public Other,SAP Sourced,C - Select,In process,Partner-Driven, , , , ,1.0,México
305136604,Salad and Go,,,Salad&Go-Early Partner Switch,2024-Q1,Public Other,SAP Sourced,A - Purchase,Booked,Corporate, , , , ,1.0,Estados Unidos
305144335,Natucultura S.A.,42515,Natucultura S.A.,ENABLE - S4HC Public CCFlex,2024-Q1,Public S/4,Sales Sourced Opportunity,A - Purchase,Booked,Corporate, , , , ,1.0,Costa Rica
305144684,"Oil States International, Inc.",53220,"Oil States International, Inc.",ERP Move,2025-Q4,Public S/4,Sales Sourced Opportunity,D - Evaluate,In process,Corporate, , , , ,1.0,Estados Unidos
305149502,Navistar Inc.,71219,Navistar Inc.,NewBus - RISE @ Navistar,2024-Q4,Private Cloud,Sales Sourced Opportunity,A - Purchase,Booked,Enterprise, , , , ,1.0,Estados Unidos
305150615,Fundacao Faculdade de Medicina,,,FFM - RFP CX Emarsys e Service Cloud,2027-Q4,Service,Sales Sourced Opportunity,D - Evaluate,In process,Enterprise, , , , ,1.0,Brasil
305151005,EMBRAER S.A.,,,Embraer_DSC_CL EHS,2024-Q2,Private Cloud,Sales Sourced Opportunity,A - Purchase,Booked,Enterprise, , , , ,1.0,Brasil
305151284,Consorcio Industrial de Alimentos S.A.,45289,Consorcio Industrial de Alimentos S.A.,RISE :: CIAL _Q2,2024-Q1,Time Management,Sales Sourced Opportunity,A - Purchase,Booked,Enterprise, , , , ,1.0,Costa Rica
